match_id,date,home_team,away_team,home_goals,away_goals,outcome,timestamp
50,2026-06-24,Morocco,Haiti,4,2,home_win,2026-06-24T23:01:59.216193
51,2026-06-24,Switzerland,Canada,2,1,home_win,2026-06-24T23:02:06.073917
52,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,home_win,2026-06-24T23:02:13.557381
53,2026-06-24,Czechia,Mexico,0,3,away_win,2026-06-24T23:02:22.332819
54,2026-06-24,South Africa,Korea Republic,1,0,home_win,2026-06-24T23:02:27.178274
55,2026-06-25,Curaçao,Côte d'Ivoire,0,2,away_win,2026-06-29T23:26:35.567624
56,2026-06-25,Ecuador,Germany,2,1,home_win,2026-06-29T23:26:46.874075
57,2026-06-25,Japan,Sweden,1,1,draw,2026-06-29T23:26:50.913677
58,2026-06-25,Tunisia,Netherlands,1,3,away_win,2026-06-29T23:26:57.144552
59,2026-06-25,Türkiye,United States,3,2,home_win,2026-06-29T23:27:05.800581
60,2026-06-25,Paraguay,Australia,0,0,draw,2026-06-29T23:27:08.418684
61,2026-06-26,Norway,France,1,4,away_win,2026-06-29T23:27:15.030092
62,2026-06-26,Senegal,Iraq,5,0,home_win,2026-06-29T23:27:20.858950
63,2026-06-26,Egypt,IR Iran,1,1,draw,2026-06-29T23:27:32.050966
64,2026-06-26,New Zealand,Belgium,1,5,away_win,2026-06-29T23:27:39.558023
65,2026-06-26,Cabo Verde,Saudi Arabia,0,0,draw,2026-06-29T23:27:46.271390
66,2026-06-26,Uruguay,Spain,0,1,away_win,2026-06-29T23:27:53.388957
67,2026-06-27,Panama,England,0,2,away_win,2026-06-29T23:28:00.754237
68,2026-06-27,Croatia,Ghana,2,1,home_win,2026-06-29T23:28:05.727965
69,2026-06-27,Algeria,Austria,3,3,draw,2026-06-29T23:28:14.973120
70,2026-06-27,Jordan,Argentina,1,3,away_win,2026-06-29T23:28:21.974309
71,2026-06-27,Colombia,Portugal,0,0,draw,2026-06-29T23:28:26.585744
72,2026-06-27,DR Congo,Uzbekistan,3,1,home_win,2026-06-29T23:28:34.925031
