date,home_team,away_team,home_elo_before,away_elo_before,outcome,tournament
2014-11-18,France,Sweden,1535.7565647750703,1481.780684030218,home_win,Friendly
2014-11-18,Japan,Australia,1438.0604865489436,1424.7582044684118,home_win,Friendly
2014-11-19,Tunisia,Egypt,1534.2038313493647,1458.6532230019122,home_win,African Cup of Nations qualification
2014-11-26,Saudi Arabia,Qatar,1491.858545419523,1535.7245145835377,away_win,Gulf Cup
2014-11-30,South Africa,Côte d'Ivoire,1490.0,1489.5731992019073,home_win,Friendly
2014-12-21,Uzbekistan,Jordan,1508.6324171575143,1447.8678008992763,home_win,Friendly
2014-12-25,Uzbekistan,Iraq,1516.9010877294631,1500.0,home_win,Friendly
2014-12-28,Uzbekistan,Iraq,1526.415018665435,1490.4860690640282,draw,Friendly
2015-01-04,IR Iran,Iraq,1452.8679083883019,1491.5165167722676,home_win,Friendly
2015-01-04,Korea Republic,Saudi Arabia,1419.0239776720716,1472.1843156396935,home_win,Friendly
2015-01-11,Tunisia,Algeria,1547.957286076115,1475.6347340442621,draw,Friendly
2015-01-12,Jordan,Iraq,1439.5991303273274,1480.4086861647647,away_win,AFC Asian Cup
2015-01-15,Qatar,IR Iran,1555.398744363367,1463.9757389958047,away_win,AFC Asian Cup
2015-01-15,Sweden,Côte d'Ivoire,1473.3218558349104,1479.5854835101702,home_win,Friendly
2015-01-16,Iraq,Japan,1502.4856330516448,1447.677803067036,away_win,AFC Asian Cup
2015-01-17,Australia,Korea Republic,1415.1408879503194,1430.5422255559424,away_win,AFC Asian Cup
2015-01-18,Uzbekistan,Saudi Arabia,1525.3845709571956,1460.6660677558227,home_win,AFC Asian Cup
2015-01-18,Tunisia,Cabo Verde,1545.9052296615032,1500.0,draw,African Cup of Nations
2015-01-19,Algeria,South Africa,1477.686790458874,1499.987715691737,home_win,African Cup of Nations
2015-01-19,Ghana,Senegal,1446.8708348415246,1516.5842199359522,away_win,African Cup of Nations
2015-01-20,Japan,Jordan,1476.5891525821294,1417.5221834404474,home_win,AFC Asian Cup
2015-01-22,Cabo Verde,DR Congo,1503.2840587935812,1500.8437229258886,draw,African Cup of Nations
